date,course,minutes,notes
2024-12-01,CS 1064,60,Worked on Python loops and functions
2024-12-01,MATH 1226,90,Studied derivatives and chain rule
2024-12-02,CS 1064,45,Practice problems from chapter 3
2024-12-02,ENGL 1106,60,Essay draft revision
2024-12-03,MATH 1226,75,Integration practice
2024-12-03,CS 1064,90,Started final project planning
2024-12-04,ENGL 1106,45,Grammar review
2024-12-05,CS 1064,120,Debugging and testing project code
2024-12-05,MATH 1226,60,Review for midterm
2024-12-06,CS 1064,75,Documentation and comments